gene_symbol	gene_symbol_long	_identifier	primary
KCS12	3-ketoacyl-CoA Synthase 12 gene	glyma.Wm82.gnm2.ann1.Glyma.10G179400	0
IAA37	Indole-3-Acetic Acid Responsive gene 37	glyma.Wm82.gnm2.ann1.Glyma.10G180000	1
IAA38	Indole-3-Acetic Acid Responsive gene 38	glyma.Wm82.gnm2.ann1.Glyma.10G180100	1
SLR1	auxin-induced protein ali50 gene	glyma.Wm82.gnm2.ann1.Glyma.10G180100	0
MGT19	Magnesium Transporter gene 19	glyma.Wm82.gnm2.ann1.Glyma.10G180200	1
CRY2a1	Cryptochrome 2a1 gene	glyma.Wm82.gnm2.ann1.Glyma.10G180600	1
ADF9	Actin Deplymerizing Factor gene 9	glyma.Wm82.gnm2.ann1.Glyma.10G180700	1
MYB29	MYB transcription factor 29 gene	glyma.Wm82.gnm2.ann1.Glyma.10G180800	1
ANK114	Ankyrin Repeat protein gene 114	glyma.Wm82.gnm2.ann1.Glyma.10G181100	1
SPX-PHO1-8	SPX-PHO 1 containing protein gene 8	glyma.Wm82.gnm2.ann1.Glyma.10G183300	1
PHO1-H5	PHO1 family protein gene H5	glyma.Wm82.gnm2.ann1.Glyma.10G183300	0
PHO1.8	PHO Phosphate Trasporter group 1 gene 1.8	glyma.Wm82.gnm2.ann1.Glyma.10G183300	0
NRT1-3	putative nitrate transporter NRT1 gene 3	glyma.Wm82.gnm2.ann1.Glyma.10G183900	1
SEO-F1	sieve element occlusion by forisomes 1 gene	glyma.Wm82.gnm2.ann1.Glyma.10G185500	1
SEO-F2	sieve element occlusion by forisomes 2 gene	glyma.Wm82.gnm2.ann1.Glyma.10G185600	1
SEO-F4	sieve element occlusion by forisomes 4 gene	glyma.Wm82.gnm2.ann1.Glyma.10G185700	1
SEOG	sieve element occlusion gene g	glyma.Wm82.gnm2.ann1.Glyma.10G185800	1
PPCK4	phosphoenolpyruvate-carboxylase kinase gene 4	glyma.Wm82.gnm2.ann1.Glyma.10G186000	1
PHT1-6	inorganic phosphate transporter gene 1-6	glyma.Wm82.gnm2.ann1.Glyma.10G186400	1
PHT1.6	Phosphate Trasporter group 1 gene 1.6	glyma.Wm82.gnm2.ann1.Glyma.10G186400	0
PHT1-1	inorganic phosphate transporter gene 1-1	glyma.Wm82.gnm2.ann1.Glyma.10G186500	1
PHT1.7	Phosphate Trasporter group 1 gene 1.7	glyma.Wm82.gnm2.ann1.Glyma.10G186500	0
TOPP10	TOPP-type protein phosphatase gene 10	glyma.Wm82.gnm2.ann1.Glyma.10G186600	1
ERF82	Ethylene-Responsive Factor gene 82	glyma.Wm82.gnm2.ann1.Glyma.10G186800	1
ERF83	Ethylene-Responsive Factor gene 83	glyma.Wm82.gnm2.ann1.Glyma.10G186900	1
ERF84	Ethylene-Responsive Factor gene 84	glyma.Wm82.gnm2.ann1.Glyma.10G187000	1
ETR2	ethylene receptor gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G188500	1
PM13	Ca+2-binding EF hand protein gene	glyma.Wm82.gnm2.ann1.Glyma.10G189900	1
PPR104	Pentatricopeptide-Repeat protein gene 104	glyma.Wm82.gnm2.ann1.Glyma.10G190600	1
POD60	Peroxidase gene 60	glyma.Wm82.gnm2.ann1.Glyma.10G191700	1
GSTU42	tau class glutathione S-transferase gene 42	glyma.Wm82.gnm2.ann1.Glyma.10G192900	1
SODB2	iron-superoxide dismutase gene B2	glyma.Wm82.gnm2.ann1.Glyma.10G193500	1
F3G6''Rt	flavonol 3-O-glucoside (1->6) rhamnosyltransferase gene	glyma.Wm82.gnm2.ann1.Glyma.10G194000	1
FG2	flavonol 3-O-glucoside (1->6) rhamnosyltransferase gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G194000	0
UGT79A6	flavonol 3-O-glucoside (1->6) rhamnosyltransferase gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G194000	0
UGT79A6-1	flavonol 3-O-glucoside (1->6) rhamnosyltransferase gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G194000	0
ERF85	Ethylene-Responsive Factor gene 85	glyma.Wm82.gnm2.ann1.Glyma.10G194200	1
SMXL15	Suppressor of Max2 gene 1-like gene 15	glyma.Wm82.gnm2.ann1.Glyma.10G196300	1
PHR18	MYB-CC domain-containing transcription factor PHR18 gene	glyma.Wm82.gnm2.ann1.Glyma.10G196600	1
Lac36	Laccase gene 36	glyma.Wm82.gnm2.ann1.Glyma.10G197300	1
NAC072	NAC domain-containing protein gene 72	glyma.Wm82.gnm2.ann1.Glyma.10G197500	1
NAC169	NAC domain-containing protein gene 169	glyma.Wm82.gnm2.ann1.Glyma.10G197600	1
Lbc3	Leghemoglobin C3 gene gene	glyma.Wm82.gnm2.ann1.Glyma.10G198800	1
LB	leghemoglobin gene	glyma.Wm82.gnm2.ann1.Glyma.10G198900	1
LBC1	leghemoglobin C1 gene	glyma.Wm82.gnm2.ann1.Glyma.10G199000	1
LBA	Leghemoglobin A gene	glyma.Wm82.gnm2.ann1.Glyma.10G199100	1
CYP76O2	7-ethoxycoumarin O-deethylase-like gene	glyma.Wm82.gnm2.ann1.Glyma.10G200800	1
PDR2-1	Pleiotropic drug resistance 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G203000	1
CCS11	Copper Chaperone For Superoxide Dismutase gene 11	glyma.Wm82.gnm2.ann1.Glyma.10G203200	1
GELP85	GDSL-type esterase/lipase protein gene 85	glyma.Wm82.gnm2.ann1.Glyma.10G203300	1
GELP86	GDSL-type esterase/lipase protein gene 86	glyma.Wm82.gnm2.ann1.Glyma.10G203400	1
B3-64	B3 Transcription Factor gene 64	glyma.Wm82.gnm2.ann1.Glyma.10G204400	1
B3-64	B3 Transcription Factor gene 64	glyma.Wm82.gnm2.ann1.Glyma.10G204400	0
RAV	RAV-like DNA-binding protein gene	glyma.Wm82.gnm2.ann1.Glyma.10G204400	0
NAC170	NAC domain-containing protein gene 170	glyma.Wm82.gnm2.ann1.Glyma.10G204700	1
PEPC17	phosphoenolpyruvate carboxylase gene 17	glyma.Wm82.gnm2.ann1.Glyma.10G205500	1
PEPC5	Phosphoenolpyruvate carboxylase gene 5	glyma.Wm82.gnm2.ann1.Glyma.10G205500	0
ppc17	Phosphoenolpyruvate carboxylase isoform gene 17	glyma.Wm82.gnm2.ann1.Glyma.10G205500	0
ABCG21L-2	ABC transporter G family member 21-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G205600	1
PM3	maturation protein PM3 gene	glyma.Wm82.gnm2.ann1.Glyma.10G205900	1
CYP51	peptidyl-prolyl cis-trans isomerase CYP51 gene	glyma.Wm82.gnm2.ann1.Glyma.10G206100	1
CP3	cysteine proteinase 3 gene	glyma.Wm82.gnm2.ann1.Glyma.10G207100	1
ABCG24L-1	ABC transporter G family member 24-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G209200	1
PAL2.4	phenylalanine ammonia-lyase 2 gene 4	glyma.Wm82.gnm2.ann1.Glyma.10G209800	1
C2-104	C2-domain containing protein gene 104	glyma.Wm82.gnm2.ann1.Glyma.10G210000	1
BTB055	BTB gene 55	glyma.Wm82.gnm2.ann1.Glyma.10G210200	1
B3-65	B3 Transcription Factor gene 65	glyma.Wm82.gnm2.ann1.Glyma.10G210600	1
PIP2-13	aquaporin PIP2-13 gene	glyma.Wm82.gnm2.ann1.Glyma.10G211000	1
eEF22	Eukaryotic Elongation Factor gene 22	glyma.Wm82.gnm2.ann1.Glyma.10G212900	1
IQD36	protein IQ-DOMAIN gene 36	glyma.Wm82.gnm2.ann1.Glyma.10G213100	1
STOP1	C2-H2 zinc finger protein gene	glyma.Wm82.gnm2.ann1.Glyma.10G215200	1
COMT41	caffeic acid O-methyltransferase gene 41	glyma.Wm82.gnm2.ann1.Glyma.10G215700	1
GASA15	gibberellin-regulated protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.10G216000	1
GASA16	gibberellin-regulated protein gene 16	glyma.Wm82.gnm2.ann1.Glyma.10G216100	1
NAC073	NAC domain-containing protein gene 73	glyma.Wm82.gnm2.ann1.Glyma.10G216400	1
ABCG25-1	ABC transporter G family member 25 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G217300	1
SUT1	sucrose transporter gene	glyma.Wm82.gnm2.ann1.Glyma.10G217900	1
PTP1	Tyrosine phosphatase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.10G218100	1
SERK1	somatic embryogenesis receptor kinase gene	glyma.Wm82.gnm2.ann1.Glyma.10G218800	1
Lac37	Laccase gene 37	glyma.Wm82.gnm2.ann1.Glyma.10G219100	1
Lac38	Laccase gene 38	glyma.Wm82.gnm2.ann1.Glyma.10G219200	1
NAC074	NAC domain-containing protein gene 74	glyma.Wm82.gnm2.ann1.Glyma.10G219600	1
SNAC38	NAC transcription factor gene	glyma.Wm82.gnm2.ann1.Glyma.10G219600	0
NIP5-2	aquaporin NIP5 gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G221100	1
GI3	Gigantea protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.10G221500	1
GIa (E2)	Gigantea protein gene a (E2)	glyma.Wm82.gnm2.ann1.Glyma.10G221500	0
POD61	Peroxidase gene 61	glyma.Wm82.gnm2.ann1.Glyma.10G222400	1
POD62	Peroxidase gene 62	glyma.Wm82.gnm2.ann1.Glyma.10G222500	1
PMEI103	Pectin Methylesterase Inhibitor gene 103	glyma.Wm82.gnm2.ann1.Glyma.10G223000	1
PMEI104	Pectin Methylesterase Inhibitor gene 104	glyma.Wm82.gnm2.ann1.Glyma.10G223100	1
ERF86	Ethylene-Responsive Factor gene 86	glyma.Wm82.gnm2.ann1.Glyma.10G223200	1
bZIP77	Basic leucine zipper transcription factor-like protein gene 77	glyma.Wm82.gnm2.ann1.Glyma.10G223800	1
TLP8	Tubby-like Protein gene 8	glyma.Wm82.gnm2.ann1.Glyma.10G224900	1
APY2-2	Apyrase 2 gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G224900	0
eEF23	Eukaryotic Elongation Factor gene 23	glyma.Wm82.gnm2.ann1.Glyma.10G225800	1
bZIP78	Basic leucine zipper transcription factor-like protein gene 78	glyma.Wm82.gnm2.ann1.Glyma.10G226000	1
RCC1	Regulator of chromosome condensation 1 gene	glyma.Wm82.gnm2.ann1.Glyma.10G226900	1
ABCC10L-1	ABC transporter C family member 10-like gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G227300	1
ABCC10L-2	ABC transporter C family member 10-like gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G227400	1
chitinaseIII-9	Chitinase Group 3 gene 9	glyma.Wm82.gnm2.ann1.Glyma.10G227700	1
ABCG8-1	ABC transporter G family member 8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G229800	1
SPX-MFS3	SPX-MFS containing protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.10G229900	1
PHT5.3	Phosphate Trasporter group 5 gene 5.3	glyma.Wm82.gnm2.ann1.Glyma.10G229900	0
PPR105	Pentatricopeptide-Repeat protein gene 105	glyma.Wm82.gnm2.ann1.Glyma.10G230100	1
WRKY111	WRKY Transcription Factor gene 111	glyma.Wm82.gnm2.ann1.Glyma.10G230200	1
WRKY2	WRKY transcription factor gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G230200	0
BCH3	beta-carotene hydroxylase gene 3	glyma.Wm82.gnm2.ann1.Glyma.10G231200	1
CrRLk1L12	receptor-like protein kinase gene 12	glyma.Wm82.gnm2.ann1.Glyma.10G231500	1
HSF-19	heat stress transcription factor 19 gene	glyma.Wm82.gnm2.ann1.Glyma.10G237800	1
ANK115	Ankyrin Repeat protein gene 115	glyma.Wm82.gnm2.ann1.Glyma.10G238000	1
IQD37	protein IQ-DOMAIN gene 37	glyma.Wm82.gnm2.ann1.Glyma.10G238300	1
TCP14	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 14	glyma.Wm82.gnm2.ann1.Glyma.10G240200	1
POD63	Peroxidase gene 63	glyma.Wm82.gnm2.ann1.Glyma.10G240300	1
PGM3	phosphoglucomutase 3 gene	glyma.Wm82.gnm2.ann1.Glyma.10G241000	1
KCS13	3-ketoacyl-CoA Synthase 13 gene	glyma.Wm82.gnm2.ann1.Glyma.10G241700	1
KCS13	3-ketoacyl-CoA Synthase 13 gene	glyma.Wm82.gnm2.ann1.Glyma.10G241700	0
RAR1-1	RAR1 protein gene	glyma.Wm82.gnm2.ann1.Glyma.10G242200	1
MED31-1	Mediator Complex 31 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G242500	1
HSF-23	heat stress transcription factor 23 gene	glyma.Wm82.gnm2.ann1.Glyma.10G244000	1
IQD38	protein IQ-DOMAIN gene 38	glyma.Wm82.gnm2.ann1.Glyma.10G245000	1
TCP50	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 50	glyma.Wm82.gnm2.ann1.Glyma.10G246200	1
CG-1	beta-conglycinin alpha prime subunit 1 gene	glyma.Wm82.gnm2.ann1.Glyma.10G246300	1
GM7S	beta-conglycinin alpha prime subunit 1 gene	glyma.Wm82.gnm2.ann1.Glyma.10G246300	0
Cgy1	beta-conglycinin 1, beta chain-like gene	glyma.Wm82.gnm2.ann1.Glyma.10G246500	1
PM24	seed maturation protein PM24 gene	glyma.Wm82.gnm2.ann1.Glyma.10G247500	1
PPR106	Pentatricopeptide-Repeat protein gene 106	glyma.Wm82.gnm2.ann1.Glyma.10G247700	1
WNK2	with no lysine kinase gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G248400	1
PITP22	Phosphatidylinositol Transfer Protein-like gene 22	glyma.Wm82.gnm2.ann1.Glyma.10G248600	1
NOD33	putative nod33 gene	glyma.Wm82.gnm2.ann1.Glyma.10G248900	1
PSAD	photosystem I subunit PsaD gene	glyma.Wm82.gnm2.ann1.Glyma.10G249000	1
BTB056	BTB gene 56	glyma.Wm82.gnm2.ann1.Glyma.10G250100	1
CHR32	Chromatin Remodeling Protein gene 32	glyma.Wm82.gnm2.ann1.Glyma.10G250500	1
LEA2-54	late embryogenesis abundant 2 gene 54	glyma.Wm82.gnm2.ann1.Glyma.10G252500	1
CRK16	cysteine-rich receptor-like protein kinase gene 16	glyma.Wm82.gnm2.ann1.Glyma.10G252700	1
CRK17	cysteine-rich receptor-like protein kinase gene 17	glyma.Wm82.gnm2.ann1.Glyma.10G252800	1
CRK18	cysteine-rich receptor-like protein kinase gene 18	glyma.Wm82.gnm2.ann1.Glyma.10G253000	1
CRK19	cysteine-rich receptor-like protein kinase gene 19	glyma.Wm82.gnm2.ann1.Glyma.10G253100	1
CRK20	cysteine-rich receptor-like protein kinase gene 20	glyma.Wm82.gnm2.ann1.Glyma.10G253200	1
CRK21	cysteine-rich receptor-like protein kinase gene 21	glyma.Wm82.gnm2.ann1.Glyma.10G253300	1
CRK23	cysteine-rich receptor-like protein kinase gene 23	glyma.Wm82.gnm2.ann1.Glyma.10G253900	1
CRK24	cysteine-rich receptor-like protein kinase gene 24	glyma.Wm82.gnm2.ann1.Glyma.10G254300	1
ITPK4	inositol phosphate kinase gene 4	glyma.Wm82.gnm2.ann1.Glyma.10G255000	1
BTB057	BTB gene 57	glyma.Wm82.gnm2.ann1.Glyma.10G258000	1
PPR107	Pentatricopeptide-Repeat protein gene 107	glyma.Wm82.gnm2.ann1.Glyma.10G258200	1
RNF12	RING-H2 finger protein gene	glyma.Wm82.gnm2.ann1.Glyma.10G259300	1
GASA17	gibberellin-regulated protein gene 17	glyma.Wm82.gnm2.ann1.Glyma.10G259800	1
PM23	seed maturation protein PM23 gene	glyma.Wm82.gnm2.ann1.Glyma.10G260200	1
B3-66	B3 Transcription Factor gene 66	glyma.Wm82.gnm2.ann1.Glyma.10G260300	1
SPX5	SPX domain-containing protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.10G261900	1
Lac39	Laccase gene 39	glyma.Wm82.gnm2.ann1.Glyma.10G263800	1
MED21-1	Mediator Complex 21 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G264300	1
ABCG7-1	ABC transporter G family member 7 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G264900	1
FATB5A	acylacyl carrier protein 5A gene	glyma.Wm82.gnm2.ann1.Glyma.10G268200	1
IAA39	Indole-3-Acetic Acid Responsive gene 39	glyma.Wm82.gnm2.ann1.Glyma.10G270500	1
WAK36	Wall Associated Kinase gene 36	glyma.Wm82.gnm2.ann1.Glyma.10G271200	1
WAK37	Wall Associated Kinase gene 37	glyma.Wm82.gnm2.ann1.Glyma.10G271700	1
VQ46	VQ motif containing protein gene 46	glyma.Wm82.gnm2.ann1.Glyma.10G273300	1
VQ46	VQ transcription factor gene 46	glyma.Wm82.gnm2.ann1.Glyma.10G273300	0
JAG2	JAGGED gene 2	glyma.Wm82.gnm2.ann1.Glyma.10G273800	1
COL7a	Constans-like 7 gene a	glyma.Wm82.gnm2.ann1.Glyma.10G274300	1
COL22	zinc finger protein CONSTANS-LIKE 16-like gene	glyma.Wm82.gnm2.ann1.Glyma.10G274300	0
KCS14	3-ketoacyl-CoA Synthase 14 gene	glyma.Wm82.gnm2.ann1.Glyma.10G274400	1
KCS14	3-ketoacyl-CoA Synthase 14 gene	glyma.Wm82.gnm2.ann1.Glyma.10G274400	0
ERF87	Ethylene-Responsive Factor gene 87	glyma.Wm82.gnm2.ann1.Glyma.10G274600	1
C4H10	Cinnamate 4-hydroxylase Chr10 gene	glyma.Wm82.gnm2.ann1.Glyma.10G275550	1
ALMT17	aluminum-activated malate transporter family protein gene 17	glyma.Wm82.gnm2.ann1.Glyma.10G275700	1
bZIP79	Basic leucine zipper transcription factor-like protein gene 79	glyma.Wm82.gnm2.ann1.Glyma.10G276100	1
TGA12	bZIP transcription factor gene 12	glyma.Wm82.gnm2.ann1.Glyma.10G276100	0
TGA12	TGA transcription factor gene 12	glyma.Wm82.gnm2.ann1.Glyma.10G276100	0
PPR108	Pentatricopeptide-Repeat protein gene 108	glyma.Wm82.gnm2.ann1.Glyma.10G277600	1
1-3-1A	syringolide-induced protein 1-3-1A gene	glyma.Wm82.gnm2.ann1.Glyma.10G277800	1
FAD2-1A	fatty acid desaturase gene	glyma.Wm82.gnm2.ann1.Glyma.10G278000	1
B3-67	B3 Transcription Factor gene 67	glyma.Wm82.gnm2.ann1.Glyma.10G281100	1
B3-68	B3 Transcription Factor gene 68	glyma.Wm82.gnm2.ann1.Glyma.10G281200	1
B3-69	B3 Transcription Factor gene 69	glyma.Wm82.gnm2.ann1.Glyma.10G281300	1
TCP15	Teosinte branched1 and cycloidea and proliferating cell factor family protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.10G285900	1
ALMT18	aluminum-activated malate transporter family protein gene 18	glyma.Wm82.gnm2.ann1.Glyma.10G287700	1
CHR33	Chromatin Remodeling Protein gene 33	glyma.Wm82.gnm2.ann1.Glyma.10G288200	1
WOX17	Wuschel-related homeobox transcription factor gene 17	glyma.Wm82.gnm2.ann1.Glyma.10G289900	1
ABCB20-1	ABC transporter B family member 20 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G290800	1
ABCB27	ATP-Binding Cassette B/P-Glycoprotein gene 27	glyma.Wm82.gnm2.ann1.Glyma.10G290800	0
DHAR-1a	DHAR class glutathione S-transferase 1 gene a	glyma.Wm82.gnm2.ann1.Glyma.10G291100	1
DHAR1	DHAR class glutathione S-transferase gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G291100	0
MDHAR-1a	DEHYDROASCORBATE REDUCTASE 1 gene a	glyma.Wm82.gnm2.ann1.Glyma.10G291100	0
KCS15	3-ketoacyl-CoA Synthase 15 gene	glyma.Wm82.gnm2.ann1.Glyma.10G291700	1
KCS15	3-ketoacyl-CoA Synthase 15 gene	glyma.Wm82.gnm2.ann1.Glyma.10G291700	0
PP2C17	Protein Phosphatase 2C-type gene 17	glyma.Wm82.gnm2.ann1.Glyma.10G291800	1
ANK116	Ankyrin Repeat protein gene 116	glyma.Wm82.gnm2.ann1.Glyma.10G291900	1
CHI1B2	chalcone isomerase 1B2 gene	glyma.Wm82.gnm2.ann1.Glyma.10G292200	1
G4DT	Glycinol 4-dimethylallyltransferase gene	glyma.Wm82.gnm2.ann1.Glyma.10G295300	1
bZIP80	Basic leucine zipper transcription factor-like protein gene 80	glyma.Wm82.gnm2.ann1.Glyma.10G296200	1
TGA13	TGA transcription factor gene 13	glyma.Wm82.gnm2.ann1.Glyma.10G296200	0
CYP23	peptidyl-prolyl cis-trans isomerase CYP23 gene	glyma.Wm82.gnm2.ann1.Glyma.10G298200	1
HDA11	histone deacetylase 11 gene	glyma.Wm82.gnm2.ann1.Glyma.11G000300	1
C2-105	C2-domain containing protein gene 105	glyma.Wm82.gnm2.ann1.Glyma.11G000700	1
MGT20	Magnesium Transporter gene 20	glyma.Wm82.gnm2.ann1.Glyma.11G002200	1
CRK25	cysteine-rich receptor-like protein kinase gene 25	glyma.Wm82.gnm2.ann1.Glyma.11G002800	1
LEA2-55	late embryogenesis abundant 2 gene 55	glyma.Wm82.gnm2.ann1.Glyma.11G003000	1
GA2OX4	gibberellin 2-beta-dioxygenase gene 4	glyma.Wm82.gnm2.ann1.Glyma.11G003200	1
COBL14	Regulates cell wall expansion and cellulose depostion gene 14	glyma.Wm82.gnm2.ann1.Glyma.11G003300	1
TSB	tryptophan synthase beta subunit gene	glyma.Wm82.gnm2.ann1.Glyma.11G003500	1
KAPP1	kinase-associated protein phosphatase gene 1	glyma.Wm82.gnm2.ann1.Glyma.11G004000	1
CHR34	Chromatin Remodeling Protein gene 34	glyma.Wm82.gnm2.ann1.Glyma.11G004100	1
BTB058	BTB gene 58	glyma.Wm82.gnm2.ann1.Glyma.11G004300	1
PPR109	Pentatricopeptide-Repeat protein gene 109	glyma.Wm82.gnm2.ann1.Glyma.11G006200	1
PPR110	Pentatricopeptide-Repeat protein gene 110	glyma.Wm82.gnm2.ann1.Glyma.11G007200	1
GRF10	growth-regulating factor gene 10	glyma.Wm82.gnm2.ann1.Glyma.11G008500	1
PPR111	Pentatricopeptide-Repeat protein gene 111	glyma.Wm82.gnm2.ann1.Glyma.11G008800	1
PLATZ18	PLATZ gene 18	glyma.Wm82.gnm2.ann1.Glyma.11G008900	1
HSF-24	heat stress transcription factor 24 gene	glyma.Wm82.gnm2.ann1.Glyma.11G009800	1
4CL3	4-coumarate:coenzyme A ligase gene 3	glyma.Wm82.gnm2.ann1.Glyma.11G010500	1
CHS8	chalcone synthase gene 8	glyma.Wm82.gnm2.ann1.Glyma.11G011500	1
PPR112	Pentatricopeptide-Repeat protein gene 112	glyma.Wm82.gnm2.ann1.Glyma.11G013400	1
CYP97B2	Cytochrome P450 97B2-like gene	glyma.Wm82.gnm2.ann1.Glyma.11G016200	1
AP2-9	AP2-EREBP transcription factor gene	glyma.Wm82.gnm2.ann1.Glyma.11G018100	1
ERF88	Ethylene-Responsive Factor gene 88	glyma.Wm82.gnm2.ann1.Glyma.11G019000	1
BTB059	BTB gene 59	glyma.Wm82.gnm2.ann1.Glyma.11G019400	1
CHX18b	Cation/H+ Exchanger Protein 18 gene B	glyma.Wm82.gnm2.ann1.Glyma.11G019900	1
LEA2-56	late embryogenesis abundant 2 gene 56	glyma.Wm82.gnm2.ann1.Glyma.11G020500	1
LEA2-57	late embryogenesis abundant 2 gene 57	glyma.Wm82.gnm2.ann1.Glyma.11G020600	1
LOR19	LURP-one related protein gene 19	glyma.Wm82.gnm2.ann1.Glyma.11G020800	1
WRKY112	WRKY Transcription Factor gene 112	glyma.Wm82.gnm2.ann1.Glyma.11G021200	1
PIP1-4	aquaporin PIP1-4 gene	glyma.Wm82.gnm2.ann1.Glyma.11G023200	1
C2-106	C2-domain containing protein gene 106	glyma.Wm82.gnm2.ann1.Glyma.11G024300	1
ADF11	Actin Deplymerizing Factor gene 11	glyma.Wm82.gnm2.ann1.Glyma.11G024500	1
LOR20	LURP-one related protein gene 20	glyma.Wm82.gnm2.ann1.Glyma.11G025000	1
OLPa	osmotin-like protein, acidic gene A	glyma.Wm82.gnm2.ann1.Glyma.11G025600	1
HSF-26	heat stress transcription factor 26 gene	glyma.Wm82.gnm2.ann1.Glyma.11G025700	1
ILPA1	Induced Leaf Petiole Angle 1 gene 	glyma.Wm82.gnm2.ann1.Glyma.11G026400	1
ILPA1	anaphase-promoting complex subunit 8-like protein gene	glyma.Wm82.gnm2.ann1.Glyma.11G026400	0
D2	D2 gene	glyma.Wm82.gnm2.ann1.Glyma.11G027400	1
SGR1	Stay-green gene 1	glyma.Wm82.gnm2.ann1.Glyma.11G027400	0
ANS3	Anthocyanidin synthase gene 3	glyma.Wm82.gnm2.ann1.Glyma.11G027700	1
ACS10b	ACC Synthase 10 gene b	glyma.Wm82.gnm2.ann1.Glyma.11G028200	1
PHR	CPD photolyase gene	glyma.Wm82.gnm2.ann1.Glyma.11G029500	1
KEU	protein transporter gene	glyma.Wm82.gnm2.ann1.Glyma.11G029600	1
NAC075	NAC domain-containing protein gene 75	glyma.Wm82.gnm2.ann1.Glyma.11G030600	1
PLATZ19	PLATZ gene 19	glyma.Wm82.gnm2.ann1.Glyma.11G030900	1
SFH14	Sec14 homology protein 14 gene	glyma.Wm82.gnm2.ann1.Glyma.11G032100	1
ACX1;1	acyl-CoA oxidase1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.11G035200	1
ERF89	Ethylene-Responsive Factor gene 89	glyma.Wm82.gnm2.ann1.Glyma.11G036400	1
ERF90	Ethylene-Responsive Factor gene 90	glyma.Wm82.gnm2.ann1.Glyma.11G036500	1
EXLB8	expansin-like B gene 8	glyma.Wm82.gnm2.ann1.Glyma.11G038300	1
CYP32	peptidyl-prolyl cis-trans isomerase CYP32 gene	glyma.Wm82.gnm2.ann1.Glyma.11G038700	1
SnRK2-16	SNF2-Related Kinase gene 16	glyma.Wm82.gnm2.ann1.Glyma.11G038800	1
SPK-2	protein kinase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.11G038800	0
CBL11	Calcineurin B-Like protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.11G038900	1
BMY3-3	Beta-amylase 3 gene 3	glyma.Wm82.gnm2.ann1.Glyma.11G039400	1
C2-107	C2-domain containing protein gene 107	glyma.Wm82.gnm2.ann1.Glyma.11G040600	1
EXLB9	expansin-like B gene 9	glyma.Wm82.gnm2.ann1.Glyma.11G040700	1
ABCI7c-2	Chloroplastic,Protein ABCI7c gene 2	glyma.Wm82.gnm2.ann1.Glyma.11G042400	1
ALMT21	aluminum-activated malate transporter family protein gene 21	glyma.Wm82.gnm2.ann1.Glyma.11G042500	1
ELS1	Early Leaf Senescence 1 gene 	glyma.Wm82.gnm2.ann1.Glyma.11G043400	1
RLK2	receptor-like protein kinase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.11G043800	1
bZIP81	Basic leucine zipper transcription factor-like protein gene 81	glyma.Wm82.gnm2.ann1.Glyma.11G045900	1
VQ47	VQ motif containing protein gene 47	glyma.Wm82.gnm2.ann1.Glyma.11G046400	1
VQ47	VQ transcription factor gene 47	glyma.Wm82.gnm2.ann1.Glyma.11G046400	0
CYP18	peptidyl-prolyl cis-trans isomerase CYP18 gene	glyma.Wm82.gnm2.ann1.Glyma.11G047800	1
BTB060	BTB gene 60	glyma.Wm82.gnm2.ann1.Glyma.11G048000	1
GLN51	Glutamine Synthase gene 51	glyma.Wm82.gnm2.ann1.Glyma.11G048700	1
POD64	Peroxidase gene 64	glyma.Wm82.gnm2.ann1.Glyma.11G049600	1
BTB061	BTB gene 61	glyma.Wm82.gnm2.ann1.Glyma.11G049800	1
NRAMP1B	metal transporter Nramp1 gene B	glyma.Wm82.gnm2.ann1.Glyma.11G051500	1
